Full Name,AI_AN Diag 08,AI_AN Diag Rate 08,Asian Diag 08,Asian Diag Rate 08,Black Diag 08,Black Diag Rate 08,Latino Diag 08,Latino Diag Rate 08,Multi Diag 08,Multi Diag Rate 08,NH_OPI Diag 08,NH_OPI Diag Rate 08,White Diag 08,White Diag Rate 08,AI_AN Diag 09,AI_AN Diag Rate 09,Asian Diag 09,Asian Diag Rate 09,Black Diag 09,Black Diag Rate 09,Latino Diag 09,Latino Diag Rate 09,Multi Diag 09,Multi Diag Rate 09,NH_OPI Diag 09,NH_OPI Diag Rate 09,White Diag 09,White Diag Rate 09,AI_AN Diag 10,AI_AN Diag Rate 10,Asian Diag 10,Asian Diag Rate 10,Black Diag 10,Black Diag Rate 10,Latino Diag 10,Latino Diag Rate 10,Multi Diag 10,Multi Diag Rate 10,NH_OPI Diag 10,NH_OPI Diag Rate 10,White Diag 10,White Diag Rate 10,AI_AN Diag 11,AI_AN Diag Rate 11,Asian Diag 11,Asian Diag Rate 11,Black Diag 11,Black Diag Rate 11,Latino Diag 11,Latino Diag Rate 11,Multi Diag 11,Multi Diag Rate 11,NH_OPI Diag 11,NH_OPI Diag Rate 11,White Diag 11,White Diag Rate 11,AI_AN Diag 12,AI_AN Diag Rate 12,Asian Diag 12,Asian Diag Rate 12,Black Diag 12,Black Diag Rate 12,Latino Diag 12,Latino Diag Rate 12,Multi Diag 12,Multi Diag Rate 12,NH_OPI Diag 12,NH_OPI Diag Rate 12,White Diag 12,White Diag Rate 12,AI_AN Diag 13,AI_AN Diag Rate 13,Asian Diag 13,Asian Diag Rate 13,Black Diag 13,Black Diag Rate 13,Latino Diag 13,Latino Diag Rate 13,Multi Diag 13,Multi Diag Rate 13,NH_OPI Diag 13,NH_OPI Diag Rate 13,White Diag 13,White Diag Rate 13,AI_AN Diag 14,AI_AN Diag Rate 14,Asian Diag 14,Asian Diag Rate 14,Black Diag 14,Black Diag Rate 14,Latino Diag 14,Latino Diag Rate 14,Multi Diag 14,Multi Diag Rate 14,NH_OPI Diag 14,NH_OPI Diag Rate 14,White Diag 14,White Diag Rate 14,AI_AN Diag 15,AI_AN Diag Rate 15,Asian Diag 15,Asian Diag Rate 15,Black Diag 15,Black Diag Rate 15,Latino Diag 15,Latino Diag Rate 15,Multi Diag 15,Multi Diag Rate 15,NH_OPI Diag 15,NH_OPI Diag Rate 15,White Diag 15,White Diag Rate 15,AI_AN Diag 16,AI_AN Diag Rate 16,Asian Diag 16,Asian Diag Rate 16,Black Diag 16,Black Diag Rate 16,Latino Diag 16,Latino Diag Rate 16,Multi Diag 16,Multi Diag Rate 16,NH_OPI Diag 16,NH_OPI Diag Rate 16,White Diag 16,White Diag Rate 16,AI_AN Diag 17,AI_AN Diag Rate 17,Asian Diag 17,Asian Diag Rate 17,Black Diag 17,Black Diag Rate 17,Latino Diag 17,Latino Diag Rate 17,Multi Diag 17,Multi Diag Rate 17,NH_OPI Diag 17,NH_OPI Diag Rate 17,White Diag 17,White Diag Rate 17,AI_AN Diag 18,AI_AN Diag Rate 18,Asian Diag 18,Asian Diag Rate 18,Black Diag 18,Black Diag Rate 18,Latino Diag 18,Latino Diag Rate 18,Multi Diag 18,Multi Diag Rate 18,NH_OPI Diag 18,NH_OPI Diag Rate 18,White Diag 18,White Diag Rate 18
United States,147,7.9,659,6,21719,72.5,9820,28.3,2327,82.1,48,13.7,12570,7.4,142,7.5,646,5.7,20346,67.2,9523,26.7,2204,75.5,47,13.2,11843,6.9,153,8.5,665,5.4,19385,63.1,9286,24.4,2111,59.3,46,11.5,11421,6.7,134,7.3,708,5.5,18457,59.3,9091,23.3,1955,53,52,12.7,10914,6.4,168,9.1,760,5.7,17696,56.2,9147,22.9,1892,49.5,46,11,10820,6.4,144,7.7,772,5.6,16932,53.1,9067,22.2,1810,45.7,45,10.5,10460,6.1,175,9.2,896,6.3,17204,53.3,9632,23,1591,38.8,42,9.5,10423,6.1,183,9.5,915,6.2,17179,52.6,9743,22.7,1446,34.1,72,16,10258,6,222,11.4,951,6.3,17033,51.6,9972,22.6,1308,29.8,41,8.9,9993,5.8,212,10.8,932,6,16432,49.3,9698,21.5,1091,24,53,11.3,9808,5.7,189,9.6,869,5.4,16008,47.5,9664,20.9,881,18.7,69,14.4,9606,5.6
Alabama,1,5.1,3,8.1,487,49.4,27,28.7,52,171.5,0,0,139,5.1,1,5.1,3,7.7,479,48.2,18,18.1,46,146.7,0,0,148,5.5,0,0,0,0,471,46.7,21,15.9,45,120.2,0,0,144,5.3,0,0,2,4.3,475,46.7,24,18.1,28,72.3,0,0,154,5.6,0,0,3,6.1,439,42.7,22,16.5,37,91.9,0,0,165,6,1,4.4,2,3.9,436,42,23,17.1,24,57.6,2,112.4,147,5.3,0,0,1,1.9,466,44.5,23,16.9,30,69.9,0,0,149,5.4,0,0,5,9.1,429,40.6,29,20.9,35,79,0,0,165,6,0,0,3,5.3,435,41,20,14.1,27,59.3,0,0,178,6.5,1,4.2,2,3.4,429,40.3,22,15.1,18,38.3,0,0,179,6.5,0,0,2,3.3,410,38.4,15,9.9,18,37.2,0,0,127,4.6
Alaska,12,15.1,0,0,7,34,1,3.3,1,5.1,0,0,18,4.7,6,7.4,2,7.2,4,19.8,1,3.2,2,9.9,0,0,6,1.6,9,11.4,1,3.2,4,22.1,5,17.4,2,7.2,0,0,14,3.6,7,8.8,0,0,5,26.9,4,13.2,0,0,1,18,7,1.8,6,7.5,3,8.8,4,20.4,3,9.1,2,6.9,0,0,10,2.6,4,4.9,3,8.4,5,24.9,2,5.8,1,3.3,0,0,8,2,11,13.5,0,0,7,35,3,8.4,3,9.9,0,0,14,3.6,9,11,1,2.7,4,20,3,8.2,0,0,0,0,8,2.1,17,20.6,3,7.8,5,24.6,3,7.9,0,0,0,0,9,2.3,15,18.2,0,0,4,19.6,4,10.3,1,3.1,0,0,10,2.6,8,9.6,0,0,1,4.9,1,2.6,2,6.1,2,26.7,6,1.6
Arizona,27,13,11,8.6,63,34.7,237,16.8,15,26.3,0,0,326,10.1,36,17.1,7,5.3,66,34.9,245,16.8,15,25.2,2,28.3,271,8.3,36,18,8,5.5,55,28.3,208,15,15,21.5,1,10.8,296,9.2,36,17.7,15,9.8,73,36.5,207,14.5,6,8.2,0,0,226,7,41,19.9,15,9.3,94,45.3,218,14.9,16,21,0,0,236,7.2,42,20,6,3.5,108,50.6,246,16.4,17,21.4,1,10.2,269,8.2,53,24.9,16,9,128,58,274,17.7,12,14.4,0,0,258,7.8,49,22.7,17,9.1,122,53.3,253,15.9,11,12.7,5,48.6,233,7,51,23.4,16,8.2,127,53.3,270,16.5,9,10,1,9.5,240,7.1,43,19.4,18,8.9,114,46.3,294,17.4,4,4.2,5,45.6,247,7.2,41,18.2,15,7.1,134,52.4,327,18.8,9,9.1,4,35.3,276,8
Arkansas,1,5.9,1,4,122,34.8,18,16.2,14,58,0,0,82,4.5,0,0,2,7.7,136,38.5,39,33.4,15,60.5,0,0,88,4.8,0,0,0,0,101,28.5,25,19.4,17,60.1,0,0,91,4.9,0,0,1,3.2,133,37.2,16,11.9,11,37.6,0,0,80,4.3,1,5.7,0,0,117,32.5,21,15.2,10,33,0,0,98,5.3,0,0,1,2.9,135,37.2,17,11.9,18,57.3,0,0,91,4.9,0,0,0,0,149,40.8,30,20.5,22,68,0,0,111,6,0,0,2,5.4,139,37.7,17,11.3,9,27,2,35.2,104,5.6,1,5.4,1,2.6,148,39.9,28,17.9,7,20.3,0,0,127,6.8,0,0,0,0,145,38.9,20,12.3,9,25.2,0,0,113,6.1,0,0,3,7.4,157,42,23,13.7,2,5.4,0,0,96,5.2
California,15,9.2,229,6,1085,59.4,2295,23.1,248,48.8,23,22.9,1824,13.5,12,7.3,224,5.8,1010,55,2127,20.9,234,44.9,21,20.6,1789,13.3,11,7.9,245,5.9,984,53.8,2125,20,268,43.1,13,11.8,1626,12.3,12,8.6,238,5.6,911,49.5,2104,19.4,241,37.7,20,17.8,1518,11.5,11,7.9,291,6.7,826,44.7,2190,19.8,206,31.3,12,10.5,1514,11.4,10,7.1,278,6.2,769,41.4,2051,18.3,220,32.5,13,11.2,1370,10.4,8,5.7,345,7.5,801,42.9,2366,20.7,213,30.6,6,5.1,1430,10.8,15,10.7,302,6.4,877,46.7,2282,19.6,223,31.2,13,10.9,1396,10.6,15,10.7,325,6.7,935,49.6,2383,20.2,186,25.4,12,10,1316,10,18,12.8,344,6.9,785,41.5,2229,18.6,168,22.4,11,9.1,1211,9.3,15,10.7,261,5.1,756,39.9,2130,17.5,135,17.5,14,11.5,1087,8.4
Colorado,3,9.9,9,8.8,64,42.1,140,19.6,11,21.5,0,0,224,7.5,2,6.4,8,7.5,56,35.8,112,15.3,5,9.4,1,24.2,186,6.1,2,7.5,9,7.9,78,50.3,99,13,9,14.4,0,0,222,7.3,3,11,5,4.2,48,30.3,109,13.9,8,12.3,0,0,190,6.2,5,18.1,4,3.2,56,34.4,116,14.4,8,11.8,2,39.4,180,5.8,1,3.5,8,6.2,53,31.7,97,11.8,6,8.4,0,0,147,4.7,1,3.5,7,5.2,68,39.4,113,13.3,12,16.1,0,0,177,5.6,3,10.2,2,1.4,60,33.8,119,13.6,11,14.1,0,0,182,5.6,5,16.7,5,3.4,59,32.4,152,16.9,8,9.7,1,16.8,193,5.9,6,19.6,8,5.2,56,30.2,156,16.9,6,7,1,16.4,209,6.3,7,22.4,5,3.1,62,32.7,153,16.1,2,2.2,2,31.9,178,5.3
Connecticut,0,0,7,7.2,131,49.4,107,33.9,9,34.1,0,0,93,4.2,0,0,6,6,139,51.8,89,27.2,8,29.5,0,0,99,4.5,0,0,2,1.8,145,52,102,27.9,11,33.6,2,203.7,126,5.7,0,0,4,3.4,125,44.3,109,28.9,9,26.6,1,98.7,102,4.6,2,33.4,4,3.3,118,41.2,86,22.1,4,11.4,1,98.6,76,3.4,0,0,3,2.4,126,43.3,97,24.1,7,19.3,0,0,94,4.3,1,16.4,5,3.9,132,44.9,74,17.9,7,18.7,0,0,74,3.4,1,16.4,6,4.5,99,33.3,86,20.4,5,13,0,0,82,3.8,1,16.4,4,2.9,108,36,74,17.1,3,7.5,1,96.8,67,3.1,0,0,4,2.9,108,35.7,85,19.1,1,2.4,2,192.5,75,3.5,0,0,2,1.4,102,33.3,65,14.2,4,9.5,2,195.3,75,3.6
Delaware,0,0,3,14.8,98,67.5,14,33.3,7,103.6,0,0,31,6.1,0,0,0,0,89,60.3,15,34,6,85.1,0,0,40,7.8,0,0,1,4.2,74,48.8,12,22.8,3,30.3,0,0,33,6.4,0,0,0,0,66,42.8,13,23.9,5,48,0,0,30,5.8,0,0,1,3.9,85,54.2,10,17.9,3,27.5,0,0,38,7.4,0,0,0,0,60,37.6,10,17.5,6,52.4,0,0,33,6.4,0,0,0,0,68,41.8,9,15.3,6,49.9,0,0,32,6.1,0,0,0,0,55,33.2,13,21.5,2,16,0,0,33,6.3,0,0,2,6.5,75,44.4,9,14.4,1,7.7,0,0,25,4.8,0,0,0,0,76,44.3,20,30.9,2,14.7,0,0,28,5.3,0,0,1,3,59,33.7,12,17.7,0,0,0,0,19,3.6
District of Columbia,1,74.4,3,18.9,736,273.4,74,185.9,90,1599.1,0,0,125,71.1,2,143.7,1,6.1,624,232.7,59,141.4,54,904.4,1,283.3,92,50.6,1,81.4,4,20,578,224.9,62,134.5,59,627.7,0,0,95,48.3,2,165.4,5,24.2,464,179.4,54,110.9,32,329.4,0,0,81,40,1,79,4,18.7,400,153.7,46,90.5,36,359.7,0,0,83,39.8,0,0,3,13.4,346,131.5,41,76.9,17,165,0,0,80,37.5,1,79.5,3,12.9,290,109.6,41,74.4,18,171.5,0,0,65,29.8,0,0,6,24.3,254,95.8,51,89.2,15,139.2,1,384.6,42,18.8,0,0,5,19.4,247,93,41,69.7,5,45.4,0,0,50,21.9,0,0,3,11.2,218,82.4,44,73.5,9,80,0,0,31,13.3,2,159.2,1,3.6,155,58.8,22,35.8,9,78.4,0,0,19,8.1
